ref_area,ref_area_label,classif1,classif1_label,time,obs_value_pay_gap,obs_status_label,obs_value_employees_women,obs_value_employees_men,obs_value_earnings_women,obs_value_earnings_men,obs_value_hours_women,obs_value_hours_men,earnings_ratio,hours_ratio,employment_ratio,delta_earnings,delta_hours
afg,afganistán,ocu_skill_l3-4,ocupación (nivel de competencia): niveles de competencia 3 y 4 ~ altos,2020,-60.072,ruptura de serie,63.143,242.447,2.82,1.762,26.49,40.14,1.600454029511918,0.6599402092675635,0.2604404261549947,-1.0579999999999998,13.650000000000002
afg,afganistán,ocu_skill_l2,ocupación (nivel de competencia): nivel de competencia 2 ~ medio,2020,-58.643,ruptura de serie,17.019,395.008,1.246,0.785,44.35,57.7,1.5872611464968152,0.7686308492201039,0.04308520333765392,-0.46099999999999997,13.350000000000001
afg,afganistán,ocu_skill_l1,ocupación (nivel de competencia): nivel de competencia 1 ~ bajo,2020,-21.971,ruptura de serie,2.933,35.331,0.677,0.555,37.15,51.94,1.2198198198198198,0.7152483634963419,0.08301491607936372,-0.122,14.79
afg,afganistán,ocu_isco08_2,ocupación (ciuo-08): 2. profesionales científicos e intelectuales,2020,-35.246,ruptura de serie,56.276,145.49,2.883,2.132,25.03,35.88,1.3522514071294558,0.697603121516165,0.3868032167159255,-0.7509999999999999,10.850000000000001
afg,afganistán,ocu_isco08_3,ocupación (ciuo-08): 3. técnicos y profesionales de nivel medio,2020,-32.453,ruptura de serie,3.188,41.599,1.111,0.839,45.21,46.02,1.3241954707985697,0.9823989569752282,0.07663645760715403,-0.272,0.8100000000000023
afg,afganistán,ocu_isco08_4,ocupación (ciuo-08): 4. personal de apoyo administrativo,2020,-47.205,ruptura de serie,6.009,79.033,1.798,1.222,43.73,46.17,1.4713584288052375,0.9471518301927657,0.07603153113256488,-0.5760000000000001,2.440000000000005
afg,afganistán,ocu_isco08_5,ocupación (ciuo-08): 5. trabajadores de los servicios y vendedores de comercios y mercados,2020,-61.337,ruptura de serie,7.783,165.344,0.957,0.593,48.3,64.62,1.6138279932546375,0.7474466109563601,0.047071559899361334,-0.364,16.320000000000007
afg,afganistán,ocu_isco08_6,"ocupación (ciuo-08): 6. agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2020,3.403,ruptura de serie,3.908,29.041,0.797,0.583,29.34,64.9,1.2280431432973806,0.7486603725440164,0.02465241856122732,-0.14800000000000002,9.849999999999998
afg,afganistán,ocu_isco08_7,"ocupación (ciuo-08): 7. oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2020,-27.785,ruptura de serie,1.984,52.468,0.689,0.539,34.95,53.28,1.2782931354359923,0.6559684684684685,0.03781352443394068,-0.1499999999999999,18.33
afg,afganistán,ocu_isco08_9,ocupación (ciuo-08): 9. ocupaciones elementales,2020,-21.971,ruptura de serie,2.933,35.331,0.677,0.555,37.15,51.94,1.2198198198198198,0.7152483634963419,0.08301491607936372,-0.122,14.79
afg,afganistán,ocu_isco08_0,ocupación (ciuo-08): 0. ocupaciones militares,2020,-57.549,ruptura de serie,0.604,162.06,1.21,0.768,49.48,72.44,1.5755208333333333,0.6830480397570403,0.003727014685918795,-0.44199999999999995,22.96
